CODMUNIC,MUNICIPIO,municipio,uf,uf_code,mesoregion,microregion,rgint,rgi,osm_relation_id,wikidata_id,is_capital,wikipedia_pt,lon,lat,no_accents,slug_name,alternative_names,pop_21
110037,Alto Alegre dos Parecis,1100379,11,RO,1102,11006,1102,110005,325858,Q1802050,NA,Alto Alegre dos Parecis,-61.8530771686,-12.1317772246,Alto Alegre dos Parecis,alto-alegre-dos-parecis,NA,13268
110040,Alto Paraíso,1100403,11,RO,1102,11003,1101,110002,325870,Q607036,NA,Alto Paraíso (Rondônia),-63.3176294335,-9.7166667381,Alto Paraiso,alto-paraiso,NA,22258
110040,Alto Paraíso,4128625,41,PR,4101,41002,4104,410016,297540,Q2064812,NA,Alto Paraíso (Paraná),-53.7328931508,-23.5081307379,Alto Paraiso,alto-paraiso,NA,2630
110002,Ariquemes,1100023,11,RO,1102,11003,1101,110002,325888,Q1646975,NA,Ariquemes,-63.033269278,-9.9084628666,Ariquemes,ariquemes,NA,111148
110045,Buritis,1100452,11,RO,1101,11001,1101,110002,325859,Q1921800,NA,Buritis (Rondônia),-63.8296787918,-10.2098054072,Buritis,buritis,NA,41043
110045,Buritis,3109303,31,MG,3101,31001,3112,310063,315293,Q1792148,NA,Buritis (Minas Gerais),-46.4240408012,-15.62650549,Buritis,buritis,NA,25179
110003,Cabixi,1100031,11,RO,1102,11008,1102,110006,325882,Q940433,NA,Cabixi,-60.5443135812,-13.4997634597,Cabixi,cabixi,NA,5067
110060,Cacaulândia,1100601,11,RO,1102,11003,1101,110002,325847,Q1750177,NA,Cacaulândia,-62.9031899346,-10.3388728394,Cacaulandia,cacaulandia,NA,6307
110004,Cacoal,1100049,11,RO,1102,11006,1102,110005,325872,Q1761637,NA,Cacoal,-61.4429442118,-11.4338650287,Cacoal,cacoal,NA,86416
110070,Campo Novo de Rondônia,1100700,11,RO,1101,11001,1101,110002,325871,Q2089179,NA,Campo Novo de Rondônia,-63.6249914265,-10.5684164693,Campo Novo de Rondonia,campo-novo-de-rondonia,NA,14391
110080,Candeias do Jamari,1100809,11,RO,1101,11001,1101,110001,325890,Q2078405,NA,Candeias do Jamari,-63.7000200718,-8.7850207035,Candeias do Jamari,candeias-do-jamari,NA,28068
110090,Castanheiras,1100908,11,RO,1102,11006,1102,110005,325891,Q1785860,NA,Castanheiras,-61.9491611965,-11.4268422255,Castanheiras,castanheiras,NA,2923
110005,Cerejeiras,1100056,11,RO,1102,11008,1102,110006,325883,Q1803210,NA,Cerejeiras,-60.8184261647,-13.195033032,Cerejeiras,cerejeiras,NA,16088
110092,Chupinguaia,1100924,11,RO,1102,11007,1102,110006,325852,Q735454,NA,Chupinguaia,-60.90184775,-12.5568407611,Chupinguaia,chupinguaia,NA,11755
